index geno pheno fit children
12320174 1 0.803118 1.02997 3
12320175 0 -0.00145975 0.989443 3
12320176 1 1.92338 1.09102 0
12320177 0 1.52802 1.08251 2
12320178 0 0.241845 0.997461 4
12320179 1 0.102257 0.99292 2
12320180 1 1.20562 1.04986 1
12320181 0 -0.634573 0.983342 1
12320182 0 -1.66845 0.932447 2
12320183 1 2.84216 1.15415 3
12320184 1 1.85071 1.09714 3
12320185 1 0.979882 1.03564 1
12320186 0 -2.0985 0.889854 0
12320187 0 -1.6643 0.899414 2
12320188 1 2.45919 1.12211 4
12320189 0 2.13595 1.13324 1
12320190 0 1.30483 1.05856 2
12320191 1 3.27035 1.16409 3
12320192 0 0.70092 1.03173 1
12320193 1 1.91364 1.10738 4
12320194 0 0.164306 1.02662 2
12320195 1 1.27644 1.08734 2
12320196 0 -0.248203 0.994873 3
12320197 0 1.06286 1.05273 4
12320198 0 0.250282 1.01464 4
12320199 1 0.861607 1.01944 1
12320200 0 1.17702 1.05538 2
12320201 1 0.364596 1.02315 2
12320202 0 1.03401 1.05019 3
12320203 1 1.62651 1.07697 2
12320204 2 3.09423 1.16281 3
12320205 1 0.915421 1.04062 1
12320206 1 1.17455 1.06879 2
12320207 0 -0.329096 0.999288 1
12320208 0 -0.349399 0.975135 1
12320209 1 1.07679 1.05359 0
12320210 0 0.872502 1.04147 1
12320211 2 2.15203 1.11519 1
12320212 0 1.095 1.05928 2
12320213 1 0.716745 1.04524 1
12320214 1 1.10134 1.04806 1
12320215 0 0.0558407 0.99838 1
12320216 1 0.0185186 0.981829 0
12320217 1 2.89755 1.15793 1
12320218 1 1.60428 1.06271 1
12320219 1 1.36085 1.0882 0
12320220 0 -0.00569586 1.01189 2
12320221 0 0.569963 1.02484 2
12320222 1 2.04784 1.1011 6
12320223 0 0.39603 1.02182 1
12320224 1 -0.255611 0.979285 1
12320225 2 0.948824 1.05627 1
12320226 1 0.301263 1.04061 3
12320227 2 1.23076 1.06777 2
12320228 0 1.01828 1.06369 2
12320229 1 1.56703 1.08935 4
12320230 1 0.0694489 1.00233 3
12320231 1 2.17185 1.10205 2
12320232 0 -0.26078 0.981999 1
12320233 0 -1.01824 0.974507 2
12320234 0 -0.340069 0.996286 0
12320235 2 1.51336 1.07454 4
12320236 0 -0.337239 0.994276 5
12320237 0 -0.449455 0.983326 1
12320238 1 0.44167 1.01579 2
12320239 2 3.83657 1.18288 3
12320240 1 1.92719 1.11512 2
12320241 1 1.23834 1.0653 0
12320242 1 1.51677 1.06735 5
12320243 2 2.15864 1.10762 3
12320244 1 0.521592 1.02654 2
12320245 2 2.46488 1.11229 2
12320246 2 1.44656 1.07106 1
12320247 0 0.592251 1.02074 2
12320248 1 1.70615 1.09836 2
12320249 2 2.72058 1.12882 4
12320250 2 2.72742 1.11943 2
12320251 2 0.996729 1.05665 1
12320252 1 2.01071 1.09388 1
12320253 1 0.456497 1.02489 1
12320254 2 1.19533 1.05316 1
12320255 0 -0.0840553 1.00801 4
12320256 0 -0.63774 0.969065 3
12320257 2 1.76514 1.09123 3
12320258 0 -0.434837 0.977794 2
12320259 1 -0.328633 0.97984 3
12320260 1 1.07111 1.04374 6
12320261 1 1.04047 1.05386 3
12320262 1 -0.186468 1.00031 1
12320263 0 0.959276 1.06608 2
12320264 1 2.52809 1.12494 2
12320265 1 -0.218999 0.988255 1
12320266 1 0.49456 1.02278 2
12320267 1 1.32612 1.07483 1
12320268 0 -1.04455 0.952756 1
12320269 1 1.51197 1.07955 0
12320270 1 0.936138 1.03282 1
12320271 1 1.57359 1.0769 4
12320272 2 3.56087 1.18999 2
12320273 1 2.66111 1.13741 2
12320274 1 -0.0788867 0.996789 0
12320275 0 0.0904416 0.986751 1
12320276 0 -1.64151 0.920665 2
12320277 1 0.816604 1.04291 2
12320278 1 0.384483 1.01578 1
12320279 1 1.34497 1.06304 0
12320280 0 1.56292 1.07934 3
12320281 0 -0.309639 0.992801 1
12320282 1 -0.00535814 1.00001 3
12320283 2 2.15501 1.12088 3
12320284 0 0.257002 1.02973 0
12320285 0 1.0847 1.04475 0
12320286 2 1.4612 1.05864 6
12320287 1 2.05173 1.11418 1
12320288 0 -1.45707 0.937825 3
12320289 1 0.429565 1.01376 1
12320290 1 1.10072 1.05652 2
12320291 2 2.88725 1.13993 5
12320292 1 1.0402 1.04073 1
12320293 0 0.0778041 1.00465 0
12320294 1 0.911884 1.05934 2
12320295 1 1.01814 1.04427 2
12320296 0 -0.724114 0.952349 3
12320297 1 0.774299 1.03028 4
12320298 1 1.90163 1.09958 2
12320299 0 1.19691 1.07099 5
12320300 0 -1.57464 0.904303 0
12320301 0 -1.17921 0.942905 2
12320302 2 2.7927 1.14361 4
12320303 1 2.23529 1.1169 3
12320304 1 0.721121 1.04445 1
12320305 1 2.78895 1.1422 2
12320306 2 1.00161 1.04272 1
12320307 2 2.38585 1.12782 2
12320308 1 1.11111 1.03806 1
12320309 2 1.84833 1.07467 5
12320310 1 1.94128 1.09141 2
12320311 1 1.68852 1.07504 1
12320312 0 1.17692 1.05187 0
12320313 1 2.52707 1.11456 3
12320314 0 -0.574079 0.993614 2
12320315 2 3.21249 1.15778 3
12320316 0 -0.501054 0.967044 1
12320317 0 -0.832791 0.975256 1
12320318 2 2.22466 1.11482 3
12320319 1 1.03833 1.04868 2
12320320 0 1.12332 1.05245 1
12320321 1 -0.82517 0.966018 0
12320322 2 1.50681 1.07311 2
12320323 1 2.19955 1.10964 0
12320324 1 -0.213902 1.00051 3
12320325 1 1.133 1.06501 3
12320326 2 1.19336 1.07076 3
12320327 2 1.12673 1.05343 4
12320328 0 0.61095 1.04563 2
12320329 2 0.819396 1.02733 0
12320330 0 -1.33224 0.932011 6
12320331 1 1.96885 1.0993 2
12320332 2 1.06896 1.04854 3
12320333 0 0.153452 1.01642 2
12320334 1 -0.515588 0.958697 1
12320335 0 0.835088 1.03915 1
