index geno pheno fit
 194 1 3.23261 1.119 
 195 1 2.32586 1.11448 
 196 0 0.417293 1.02268 
 197 1 1.32677 1.065 
 198 0 0.316237 1.01531 
 199 1 1.43881 1.07494 
 200 1 2.51375 1.13485 
 201 1 -0.410031 0.980754 
 202 0 0.931991 1.03381 
 203 1 -0.0191511 0.999122 
 204 0 -0.588208 0.973026 
 205 0 1.48759 1.08223 
 206 1 0.852521 1.05006 
 207 1 2.50148 1.10206 
 208 0 1.01976 1.07081 
 209 1 0.947971 1.05982 
 210 0 -0.124665 0.994132 
 211 0 -0.556678 0.972065 
 212 0 -1.67281 0.919771 
 213 1 0.284586 1.01339 
 214 1 -0.213772 0.988866 
 215 0 1.2724 1.09084 
 216 0 -0.176459 0.991402 
 217 1 -0.0200929 0.99905 
 218 1 -0.471469 0.976214 
 219 0 -0.159678 0.993845 
 220 0 0.963876 1.032 
 221 1 1.81503 1.07788 
 222 0 0.461213 1.02636 
 223 0 0.422806 1.02398 
 224 0 -0.671132 0.967825 
 225 0 -0.974782 0.964284 
 226 1 -0.861011 0.971964 
 227 1 2.65095 1.12508 
 228 1 1.28771 1.08138 
 229 1 2.27539 1.1108 
 230 1 0.276572 1.01677 
 231 1 0.656765 1.03811 
 232 0 -1.57522 0.937506 
 233 0 0.376116 1.01615 
 234 0 -0.714853 0.961279 
 235 0 0.517239 1.02288 
 236 0 0.182017 1.01271 
 237 0 -0.238245 0.989059 
 238 1 1.50909 1.06401 
 239 1 -0.414463 0.972269 
 240 1 1.33534 1.05907 
 241 1 0.364586 1.01691 
 242 1 0.889878 1.05373 
 243 0 0.612395 1.02665 
 244 0 -0.0330271 0.998483 
 245 0 -0.689688 0.977081 
 246 1 1.12917 1.05034 
 247 1 1.14301 1.07608 
 248 1 2.773 1.15093 
 249 1 1.61983 1.08448 
 250 1 0.366304 1.02547 
 251 0 -0.619008 0.976113 
 252 0 -0.0951446 0.994008 
 253 1 1.44887 1.07145 
 254 1 1.19274 1.05832 
 255 0 -0.51632 0.971794 
 256 0 1.14189 1.05546 
 257 1 1.74783 1.0702 
 258 0 0.68789 1.0404 
 259 1 0.569007 1.03312 
 260 0 0.603903 1.03041 
 261 1 1.97309 1.07389 
 262 1 0.989202 1.04187 
 263 1 0.13789 1.00742 
 264 1 0.820503 1.04675 
 265 0 0.00603956 1.00033 
 266 0 0.798211 1.03689 
 267 0 -0.493995 0.971566 
 268 1 0.601593 1.03838 
 269 1 -0.659895 0.972806 
 270 0 0.563436 1.03369 
 271 0 0.711289 1.03942 
 272 0 -0.675603 0.970435 
 273 1 0.920096 1.04248 
 274 0 -1.93389 0.916334 
 275 1 0.788242 1.03414 
 276 0 -1.04832 0.942603 
 277 1 1.04904 1.05134 
 278 1 1.1566 1.04489 
 279 1 -0.0277082 0.99876 
 280 0 0.697904 1.02599 
 281 1 2.27323 1.10462 
 282 0 -0.259575 0.991093 
 283 1 1.34614 1.06694 
 284 0 0.973299 1.04971 
 285 1 0.889349 1.02689 
 286 1 1.73636 1.06715 
 287 0 0.620189 1.03159 
 288 0 -1.11794 0.947175 
 289 1 1.45502 1.05182 
 290 0 0.236038 1.00556 
 291 1 1.55117 1.08546 
 292 0 -1.4231 0.910793 
 293 0 0.10187 1.00352 
 294 0 -0.163064 0.990574 
 295 1 2.75919 1.15548 
 296 1 1.565 1.09626 
 297 1 0.915203 1.05044 
 298 1 0.683073 1.04718 
 299 1 3.13898 1.1788 
 300 1 0.116409 1.00493 
 301 0 1.56365 1.09928 
 302 1 0.549683 1.0321 
 303 1 0.632949 1.01612 
 304 0 0.36487 1.02534 
 305 1 0.134495 1.00743 
 306 1 0.54422 1.03016 
 307 1 -0.882589 0.941307 
 308 1 0.549515 1.02353 
 309 1 0.323043 1.016 
 310 1 0.00143313 1.00007 
 311 1 1.51181 1.07149 
 312 0 0.212961 1.00856 
 313 1 2.31323 1.10867 
 314 1 1.62799 1.08025 
 315 1 1.11548 1.04812 
 316 1 0.405035 1.02557 
 317 0 0.476288 1.02209 
 318 1 1.69851 1.09138 
 319 0 0.309321 1.01704 
 320 1 1.84279 1.08725 
 321 0 -0.0452125 0.998339 
 322 1 1.475 1.06641 
 323 1 0.867833 1.05773 
 324 1 -0.194443 0.990183 
 325 1 1.63588 1.08124 
 326 1 0.587409 1.0389 
 327 0 0.2039 1.01014 
 328 0 -0.752047 0.979052 
 329 1 1.5069 1.07083 
 330 1 2.54935 1.13275 
 331 0 -0.152128 0.990797 
 332 1 -0.744792 0.966953 
 333 1 1.69816 1.08208 
 334 0 -0.400432 0.987081 
 335 1 0.540259 1.02551 
 336 1 0.525143 1.02179 
 337 0 0.333499 1.01256 
 338 1 2.56864 1.13119 
 339 0 -0.884097 0.961669 
 340 0 2.18465 1.12131 
 341 1 1.45596 1.06687 
 342 0 -0.215762 0.992146 
 343 0 -1.75146 0.935399 
 344 0 -0.317759 0.985485 
 345 0 0.432964 1.0212 
 346 0 1.27697 1.06858 
 347 0 0.591937 1.02937 
 348 1 0.0633479 1.00304 
 349 0 -0.379974 0.97804 
 350 1 1.80576 1.0759 
 351 0 1.86399 1.12428 
 352 1 1.03653 1.04334 
 353 1 0.489487 1.02998 
 354 0 -0.455144 0.970011 
 355 1 0.657 1.03365 
 356 0 -0.55042 0.967953 
 357 1 0.125623 1.00573 
 358 0 -0.52608 0.978766 
 359 1 1.88731 1.09522 
 360 1 2.24096 1.08863 
 361 1 0.696931 1.02951 
 362 1 1.24332 1.06725 
 363 0 1.55507 1.10748 
 364 1 1.08706 1.06468 
 365 0 0.381787 1.01565 
 366 0 2.08351 1.1097 
 367 0 -0.526714 0.97132 
 368 0 1.15761 1.06619 
 369 1 1.35091 1.06743 
 370 0 -0.296706 0.980552 
 371 1 0.953824 1.03248 
 372 0 -0.113832 0.994342 
 373 0 0.492499 1.02982 
 374 1 0.645556 1.02614 
 375 1 1.77137 1.09885 
 376 1 0.97273 1.05732 
 377 0 0.608606 1.0348 
 378 1 1.69664 1.11467 
 379 0 -0.255975 0.985554 
 380 0 -0.517242 0.977341 
 381 1 0.88116 1.04173 
 382 0 -0.576755 0.973147 
 383 0 -0.700073 0.962647 
 384 0 0.657115 1.02535 
 385 0 -0.975624 0.953192 
 386 0 0.191657 1.01139 
 387 1 1.90975 1.12128 
 388 1 1.60476 1.09772 
 389 1 0.385479 1.02315 
 390 0 0.311104 1.01839 
 391 1 -1.1006 0.946642 
 392 1 1.27377 1.08585 
 393 1 1.36419 1.05965 
 394 1 1.70407 1.11604 
 395 0 -0.272465 0.988748 
 396 1 -0.670778 0.976074 
 397 0 -0.52251 0.965365 
 398 1 -0.187805 0.988698 
 399 1 0.553057 1.02997 
